country_code,region,year,gdp_per_capita,population,bank_capital_assets_ratio,domestic_credit_private_gdp,exports_gdp,fdi_net_inflows_gdp,gdp_growth_annual,gdp_per_capita_constant,gdp_per_capita_growth,gdp_ppp_constant,government_debt_gdp,government_expenditure_gdp,gross_investment_gdp,gross_savings_gdp,imports_gdp,internet_users_pct,market_cap_gdp,patent_applications_residents,population_growth,private_investment_gdp,real_interest_rate,research_development_gdp,tariff_rate_applied_weighted,tax_revenue_gdp,tertiary_education_enrollment,trade_gdp,unemployment_total,urban_population_pct,country_name
CHN,East Asia,1998,4309.847175568261,1238722.12,,,18.342006982237,4.43550102416557,7.84595178729862,1909.62232844399,6.81606456437845,4312220081533.43,,,34.8136823326466,38.3470849434673,14.0821331520758,0.169,,13751.0,0.959550406298151,29.8555009774518,7.356478445987,0.646889984607697,15.5,,6.2884202003479,32.4241401343128,3.24,33.867,China
CHN,East Asia,1999,4466.736250214565,1248899.1,,,18.1625864572871,3.74898123668431,7.6616515004031,2038.2064740575,6.73348565830214,4642607356110.92,,,34.1097089114429,36.5579121845041,15.3617777891571,0.708,,15626.0,0.865851392993279,29.6409393546744,7.20405034053389,0.749629974365234,14.46,,6.62028980255127,33.5243642464442,3.25,34.865,China
CHN,East Asia,2000,4730.354351202304,1258400.92,,,20.8937072974529,3.47512590256774,8.49009340597647,2193.89686642215,7.63859767625573,5036769057117.47,,,33.5730284937681,35.739553531728,18.5173265975939,1.78,,25346.0,0.787956592953992,29.6936760955976,3.71066408193725,0.893159985542297,14.67,,7.55849981307983,39.4110338950468,3.26,35.877,China
CHN,East Asia,2001,4995.144724820601,1267177.95,,,20.312067216126,3.5129885385098,8.33573347817196,2359.57238513523,7.55165483158112,5456620701629.82,,,35.5415967198136,37.2692973716933,18.21514310996,2.64,,30038.0,0.726380637838525,30.3891252296952,3.72666388978298,0.940330028533936,14.11,,9.22885990142822,38.5272103260861,3.8,37.093,China
CHN,East Asia,2002,5343.112257824781,1275379.1,,,22.6446280317419,3.60908113491298,9.13363078966614,2557.89161202627,8.40487997488042,5955008290109.18,,,36.1534434433744,38.8832208930794,20.1025535239991,4.6,,39806.0,0.669999567758626,31.7883716017708,4.67972434460637,1.05786001682281,7.72,,11.7157096862793,42.747181555741,4.24,38.425,China
CHN,East Asia,2003,5649.4632391271925,1283063.96,,,26.9808771439925,3.48741889929233,10.0380304810393,2797.17665912283,9.35477664383941,6552773837418.75,,,39.6201305878555,42.4135043434387,24.82334243075,6.2,30.8971138583274,56769.0,0.622860936133583,33.6183439988842,2.63814663556679,1.12037003040314,6.48,,14.391209602356,51.8042195747425,4.58,39.776,China
CHN,East Asia,2004,6067.591161370288,1290619.75,,,31.0613413353482,3.48364153462976,10.1136213776263,3061.83317262874,9.46155877008179,7215496573067.44,,,41.8471972608319,45.6723673350743,28.4441900780444,7.3,22.8972306683364,65786.0,0.593932815112141,34.6978989147626,-1.28281170502224,1.21498000621796,5.96,,16.7798404693604,59.5055314133926,4.49,41.144,China
CHN,East Asia,2005,6626.591821130525,1298245.04,,,33.829927750047,4.55426348223621,11.3945918098927,3390.71615945044,10.741375126566,8037672954625.27,,,40.3461495465791,45.954784312021,28.3780941731833,8.52,17.5791373366569,93485.0,0.588124989556992,35.0328340400655,1.61327750285798,1.30791997909546,4.87,8.56924385783334,18.5551490783691,62.2080219232303,4.52,42.522,China
CHN,East Asia,2006,7271.035651970811,1305115.74,,,36.0351972897845,4.508600502911,12.7209556654032,3800.76579592591,12.0933046941309,9060141767713.25,,,39.9103386970019,48.2605054243768,28.4439939103899,10.5,41.6208388039503,122318.0,0.558374367373002,34.6709698321809,2.11057772658151,1.36854004859924,4.25,9.05725398272786,20.509880065918,64.4791912001744,4.43,43.868,China
CHN,East Asia,2007,7895.712892697418,1311877.23,,,35.4349475807119,4.40098334219288,14.2308609331955,4319.03139751247,13.6358205007554,10349477943026.9,,,40.4821901688549,50.2752262154472,26.7586775044594,16.0,126.153605484469,153060.0,0.522271866392275,34.4689879976754,-0.259570586367363,1.37369000911713,5.07,9.77140606467415,21.4464302062988,62.1936250851713,4.35,45.199,China
